name,current_price,market_cap,volume_day,circulating_supply,supply_verified,total_supply,max_supply,fully_diluted_market_cap,low_price_day,high_price_day,all_time_high,all_time_low,ucid,popularity_watchlists
Degen,0.00474,67214280.0,14547592.0,14179608879.0,verified,36965935954.0,36965935954.0,175226185.0,0.004485,0.005052,0.06459,0.004485,30096,40043.0
Toshi,0.0001597,65155432.0,1363449.0,408069300000.0,verified,420690000000.0,420690000000.0,67170549.0,7.906e-09,0.0001757,0.0007802,7.906e-09,27750,83671.0
ShibaBitcoin,0.6984,60388183.0,2146999.0,86461076.0,verified,1000000000.0,1000000000.0,698443574.0,0.6982,0.6991,3.73,0.2888,30953,237.0
TokenFi,0.06043,60435717.0,3909838.0,1000019789.0,verified,10000000000.0,10000000000.0,604345209.0,0.05843,0.06466,0.2448,4.864e-05,28299,59868.0
MANEKI,0.006926,58334414.0,15375879.0,8422887212.0,verified,8888887212.0,,61561791.0,0.006719,0.008158,0.02774,0.004515,30912,18390.0
Daddy Tate,0.08538,49875739.0,3243161.0,584188329.0,verified,599688329.0,999689062.0,85349583.0,0.08448,0.103,0.2925,0.07182,31830,12531.0
ArbDoge AI,2.913e-10,50811318.0,6282808.0,1.74455896934211e+17,verified,1.91609763385755e+17,,55807484.0,2.82e-10,3.125e-10,1.133e-09,3.439e-11,24477,54803.0
Mother Iggy,0.05269,51963237.0,16305768.0,986143154.0,verified,986143154.0,,51963237.0,0.04709,0.06602,0.2406,0.004545,31510,9653.0
Grok,0.006539,41333059.0,8329308.0,6320723099.0,verified,6596450430.0,6900000000.0,45121120.0,0.006495,0.007105,0.02971,0.002506,28394,33450.0
RichQUACK.com,7.946e-10,35030877.0,665522.0,4.40859612741523e+16,verified,4.6775855335611e+16,,37168277.0,7.749e-10,8.617e-10,2.529e-08,,10641,2471777.0
PepeFork,8.065e-08,33928337.0,1712208.0,420690000000000.0,verified,420690000000000.0,420690000000000.0,33928337.0,8.001e-08,8.654e-08,9.132e-07,6.89e-08,29220,20747.0
Kishu Inu,3.66e-10,34088044.0,536849.0,9.313609712113394e+16,verified,9.670293841273085e+16,,35393517.0,3.544e-10,3.998e-10,2e-08,,9386,199917.0
catwifhat,9.84e-07,33863480.0,1840124.0,34415587065013.0,verified,34427003534027.0,,33874713.0,9.567e-07,1.033e-06,2.291e-06,3.257e-09,8977,200804.0
Doge Killer,308.21,32783174.0,1237440.0,106367.0,verified,107536.0,,33143393.0,307.37,322.05,8983.59,,9286,50849.0
Samoyedcoin,0.008843,32338533.0,796710.0,3657134467.0,verified,4746913623.0,,41975001.0,0.008412,0.009161,0.246,0.00115,9721,67180.0
crow with knife,4.201e-08,32342452.0,1717057.0,769861397731578.0,verified,777777777777777.0,777777777777777.0,32675025.0,3.783e-08,4.474e-08,1.525e-07,9.647e-09,30402,7128.0
PUPS (Ordinals),3.96,30740150.0,215381.0,7770000.0,verified,7770000.0,7770000.0,30740150.0,3.81,4.56,452.66,3.81,30484,10890.0
MAGA,7.08e-05,27628767.0,17458663.0,390258895840.0,verified,413340222368.0,420690000000.0,29783168.0,7.875e-06,8.392e-05,0.0007461,7.875e-06,31305,17405.0
GameStop,0.003484,23989788.0,15900167.0,6885214218.0,verified,6885214218.0,,23989788.0,0.00333,0.00408,0.03207,0.0004008,29241,31325.0
Hoppy,5.647e-05,23756799.0,1936730.0,420690000000.0,verified,420690000000.0,420690000000.0,23756799.0,1.726e-06,6.938e-05,0.0002025,1.726e-06,30859,10068.0
DUKO,0.002484,24005544.0,11545769.0,9663955990.0,verified,9999609598.0,,24839317.0,0.002175,0.002803,0.007299,0.0001886,29494,20450.0
Smog,0.02956,23026692.0,175554.0,778999968.0,verified,1399999968.0,,41383016.0,0.02913,0.03196,0.384,0.02533,29358,22718.0
BOB (ETH),3.15e-05,21709828.0,3701007.0,689127646403.0,verified,689127646403.0,690000000000.0,21737310.0,1.414e-06,3.373e-05,0.000219,1.414e-06,24594,30868.0
Basenji,0.02372,21873100.0,1797621.0,922044870.0,verified,1000000000.0,1000000000.0,23722381.0,0.02212,0.03095,0.1069,0.008793,30193,6232.0
SPX6900,0.02128,19811917.0,420969.0,930993090.0,verified,1000000000.0,,21280412.0,0.02,0.02613,0.03175,0.001353,28081,1990.0
Ben the Dog,0.01933,19329706.0,3378762.0,999780947.0,verified,999994578.0,,19333836.0,0.01819,0.02156,0.07529,0.004203,29574,18314.0
Shiba Predator,3.157e-08,18940574.0,80580.0,599886333333333.0,verified,599886333333333.0,1000000000000000.0,31573604.0,3.118e-08,3.403e-08,3.867e-07,1.548e-08,18919,24046.0
Shark Cat,0.01916,18964414.0,3628828.0,989895519.0,verified,989895519.0,1000000000.0,19157996.0,0.01813,0.02544,0.249,0.01722,30309,4156.0
MonaCoin,0.2743,18030850.0,296935.0,65729675.0,verified,65729675.0,105120000.0,28836336.0,0.2727,0.3195,20.23,0.0196,213,17120.0
Pepe 2.0,3.814e-08,17888705.0,1369073.0,469000000000000.0,verified,469000000000000.0,469000000000000.0,17888705.0,3.79e-08,4.056e-08,2.811e-07,3.207e-09,27276,26473.0
PAW,1.896e-08,17976069.0,407782.0,947958529404516.0,verified,999826523767972.0,,18959638.0,1.793e-08,2.029e-08,1.007e-07,8.584e-10,23404,29518.0
Pitbull,4.347e-10,17476391.0,3647360.0,4.019215806366e+16,verified,1e+17,1e+17,43482092.0,4.309e-10,4.581e-10,1e-08,,9177,111144.0
Catgirl,4.901e-10,17344764.0,72588.0,3.53867857152508e+16,verified,3.67840820070996e+16,1e+17,49014805.0,4.846e-10,5.095e-10,2.566e-08,,10275,84431.0
Volt Inu,2.902e-07,15895480.0,9464733.0,54766287142827.0,verified,69000000000000.0,69000000000000.0,20026703.0,2.853e-07,3.082e-07,3.513e-06,2.146e-07,19650,96957.0
Katana Inu,0.0005605,15261431.0,507383.0,27226308014.0,verified,50000000000.0,,28026993.0,0.0005466,0.0005863,0.008299,0.0001083,15142,34394.0
Doge Eat Doge,3.957e-08,12267031.0,117926.0,310000000000000.0,verified,1000000000000000.0,1000000000000000.0,39571067.0,3.882e-08,4.341e-08,2.733e-07,3.919e-10,21453,4854.0
Vita Inu,1.354e-08,12187019.0,4003240.0,899780759324505.0,verified,899780759324505.0,899781425467215.0,12187028.0,1.35e-08,1.387e-08,7.093e-08,,15270,35334.0
Slothana,0.007193,12193744.0,4678805.0,1695118152.0,verified,1874794066.0,,13486233.0,0.007036,0.007833,0.05983,0.006979,31163,9417.0
LOBO•THE•WOLF•PUP,0.0007303,11968254.0,732040.0,16387781650.0,verified,21000000000.0,,15336629.0,0.0007242,0.0008348,0.00406,0.0005049,31051,5085.0
Super Trump Coin,0.00637,11705041.0,1021984.0,1837382589.0,verified,2339600236.0,2600000000.0,16563293.0,0.006229,0.007471,0.03169,0.0003417,29558,39494.0
Jesus Coin,7.872e-08,11920894.0,323197.0,151426487242538.0,verified,156533918921921.0,,12322971.0,7.774e-08,8.925e-08,5.796e-07,6.214e-10,24747,9236.0
The First Youtube Cat,0.01174,11501985.0,557974.0,979915057.0,verified,1000000000.0,,11737737.0,0.01112,0.015,0.03567,0.001256,29855,3297.0
Optimus AI,0.1132,10755464.0,103389.0,95034939.0,verified,100000000.0,,11317378.0,0.1103,0.1198,0.6176,0.07222,23794,22704.0
Akita Inu,1.499e-07,10207160.0,197992.0,68071541209831.0,verified,100000000000000.0,,14994754.0,1.453e-07,1.586e-07,2.886e-05,,8378,109529.0
CateCoin,2.215e-07,9771309.0,77448.0,44104656629774.0,verified,60000000000000.0,100000000000000.0,22154823.0,2.208e-07,2.337e-07,1.19e-05,,9656,58728.0
Baby Bonk,2.506e-11,9858911.0,12030129.0,3.9343941017561344e+17,verified,4.2e+17,4.2e+17,10524473.0,2.462e-11,2.851e-11,1.297e-10,4.614e-12,28801,17876.0
Dogechain,0.0003281,9671253.0,1817646.0,29474353809.0,verified,169576385105.0,200000000000.0,65624869.0,0.0003261,0.0003566,0.004501,0.0002911,21414,27844.0
Baby,1.01e-05,9710598.0,326347.0,961566995497.0,verified,981566995497.0,981566995497.0,9912573.0,9.64e-06,1.246e-05,9.552e-05,9.988e-07,29668,21713.0
MongCoin,1.609e-08,9351505.0,2001134.0,581196039603956.0,verified,690000000000000.0,690000000000000.0,11102172.0,1.605e-08,1.766e-08,3.547e-07,7.509e-10,24793,18698.0
Bad Idea AI,1.684e-08,8928664.0,4371079.0,530334921255707.0,verified,831016500000000.0,831041059897327.0,13991321.0,1.666e-08,1.78e-08,1.953e-07,1.454e-09,25479,27457.0
Windoge98,0.9723,8454931.0,1704.0,8695649.0,verified,9936556.0,10000000.0,9723174.0,0.9587,1.07,2.42,0.2033,28967,1105.0
Hege,0.008924,8922405.0,628102.0,999852397.0,verified,999852397.0,999852397.0,8922405.0,0.008245,0.01107,0.02668,0.002256,31044,1682.0
Hemule,0.008759,8583650.0,325222.0,979998588.0,verified,979998588.0,1000000000.0,8758839.0,0.008538,0.009656,0.08686,0.0003843,28786,7765.0
Mario Coin,0.0002817,8451079.0,21364.0,30000000000.0,verified,100000000000.0,100000000000.0,28170262.0,0.0002814,0.0003246,0.0003648,9.903e-05,32125,219.0
Kimbo,0.000116,8053368.0,571986.0,69420000000.0,verified,69420000000.0,69420000000.0,8053368.0,0.0001107,0.000131,0.0007147,5.103e-05,28836,11501.0
Pikaboss,1.864e-08,7841835.0,29364.0,420690000000000.0,verified,420690000000000.0,420690000000000.0,7841835.0,1.841e-08,1.959e-08,4.171e-06,6.55e-10,26532,3568.0
MAGA AGAIN,0.007874,7873672.0,714367.0,1000000000.0,verified,1000000000.0,1000000000.0,7873672.0,0.007731,0.009218,0.08214,0.002729,31678,998.0
Dejitaru Tsuka,0.007873,7872672.0,170285.0,1000000000.0,verified,1000000000.0,,7872672.0,0.007588,0.008323,0.2474,0.002394,20789,32161.0
Starlink,7.687e-07,7671855.0,340884.0,9979172029858.0,verified,10000000000000.0,10000000000000.0,7687867.0,7.51e-07,8.184e-07,8.823e-05,4.599e-07,10821,127791.0
Solama,0.01107,7238281.0,387316.0,653868075.0,verified,676584793.0,,7489754.0,0.01088,0.01291,0.1486,0.0004052,29015,36150.0
Rain Coin,7.31,7305952.0,62011.0,1000000.0,verified,1000000.0,,7305952.0,7.28,7.49,18.03,3.5,29349,724.0
Hoge Finance,1.794e-05,7057058.0,19683.0,393401634711.0,verified,393401634711.0,394686538324.0,7080108.0,7e-07,1.794e-05,0.0009634,7e-07,8438,56032.0
BEFE,7.518e-05,7007044.0,1524973.0,93201825078.0,verified,99999998095.0,100000000000.0,7518141.0,7.47e-05,8.431e-05,0.001127,5.678e-05,28453,6184.0
Byte,6.752e-06,6511839.0,207871.0,964467033477.0,verified,964467033477.0,,6511839.0,6.749e-06,8.316e-06,6.408e-05,1.989e-06,28664,12781.0
Crash,0.007157,7001721.0,897737.0,978237337.0,verified,1000000000.0,1000000000.0,7157487.0,0.006741,0.008895,0.04021,0.004891,32019,1069.0
Wall Street Memes,0.003431,6490559.0,1993054.0,1891726395.0,verified,1897257388.0,2000000000.0,6862049.0,0.00321,0.003673,0.07971,0.00296,28179,21509.0
BobaCat,0.01087,6272105.0,170422.0,577172773.0,verified,577172773.0,1000000000.0,10866945.0,0.01059,0.01251,0.09485,0.0001741,28132,5218.0
POOH,1.479e-08,6223388.0,941051.0,420690000000000.0,verified,420690000000000.0,420690000000000.0,6223388.0,1.473e-08,1.579e-08,1.97e-07,8.678e-10,24851,14434.0
Banano,0.003813,6029474.0,14803.0,1581241268.0,verified,1918860280.0,,7316859.0,0.003771,0.003927,0.05865,0.0001978,4704,15249.0
Shina Inu,4.83e-07,5900286.0,240400.0,12215422502184.0,verified,14047932958970.0,20000000000000.0,9660389.0,4.798e-07,5.302e-07,0.0001129,1.175e-07,19736,27858.0
Chickencoin,9.062e-08,5821246.0,94978.0,64239000000000.0,verified,69000000000000.0,69000000000000.0,6252681.0,8.813e-08,9.569e-08,1.32e-06,8.813e-08,29999,2373.0
Povel Durev,0.06009,5708630.0,532617.0,95000000.0,verified,99900000.0,99900000.0,6003075.0,0.05484,0.06132,0.1912,0.04982,31061,4226.0
Andy on SOL,0.005106,4831692.0,1765804.0,946220014.0,verified,946220014.0,,4831692.0,0.004839,0.006354,0.05343,0.001381,29811,6848.0
Real Smurf Cat,5.129e-05,4811410.0,120609.0,93809047574.0,verified,100000000000.0,,5128940.0,5.044e-05,5.804e-05,0.0003975,1.223e-05,28053,5336.0
DogeBonk,8.047e-09,4691173.0,6.0,582959739166037.0,verified,582959739166037.0,,4691173.0,8.039e-09,8.191e-09,1.286e-06,2.489e-15,12859,21791.0
Elon MemeLord,6.81e-06,4667293.0,892687.0,685219781741.0,verified,690420000000.0,690420000000.0,4702714.0,6.401e-06,7.768e-06,7.812e-05,5.709e-06,30979,1923.0
CumRocket,0.003484,4600627.0,375001.0,1320428309.0,verified,1320428309.0,,4600627.0,0.003448,0.003602,0.2888,0.001414,9212,48798.0
KiboShib,4.456e-06,4456245.0,74814.0,1000000000000.0,verified,1000000000000.0,1000000000000.0,4456245.0,4.039e-06,4.951e-06,1.781e-05,5.406e-09,23802,21983.0
Moutai,0.005921,4125137.0,124349.0,696717627.0,verified,696717627.0,,4125137.0,0.005849,0.007864,0.1151,0.005186,30601,760.0
Coconut Chicken,0.0004204,3926298.0,58163.0,9339544772.0,verified,9339544772.0,10000000000.0,4203950.0,0.000348,0.0004604,0.001042,0.0001597,29059,23246.0
MAGA VP,0.09485,3938370.0,57364.0,41520023.0,verified,47500000.0,47500000.0,4505599.0,0.09435,0.1117,0.7352,0.02774,29460,3273.0
Milady Wif Hat,1.522e-05,3805763.0,844304.0,249998356616.0,verified,999998356616.0,,15223125.0,1.508e-05,1.675e-05,9.333e-05,1.363e-05,30071,1681.0
Cheems,0.001453,3705722.0,304044.0,2550834901.0,verified,2775346214.0,,4031881.0,0.001435,0.001603,0.01064,5.411e-05,10269,12072.0
HUND,0.009544,3625054.0,78387.0,379827144.0,verified,399997965.0,,3817564.0,0.009425,0.01081,0.03415,0.006026,30007,24760.0
analoS,4.185e-05,3434847.0,2981912.0,82080218235.0,verified,99980594226.0,,4183932.0,4.148e-05,4.447e-05,0.002169,3.869e-05,28805,26874.0
Wat,8.521e-06,3386180.0,1869495.0,397411193510.0,verified,420690000000.0,420690000000.0,3584529.0,7.912e-06,1.065e-05,7.483e-05,1.323e-06,31908,5457.0
Baby Trump (BSC),0.007489,3223209.0,255212.0,430383965.0,verified,474474474.0,474474474.0,3553409.0,0.007326,0.008757,0.02586,0.002676,29541,7217.0
Wownero,0.04752,3143276.0,2195067.0,66139439.0,verified,66139439.0,184467440.0,8766812.0,0.04658,0.05108,2.03,0.002551,4978,6493.0
neversol,4.164e-05,2998014.0,822398.0,72000197130.0,verified,95988542118.0,,3996864.0,4.078e-05,4.676e-05,0.0004319,2.945e-05,29302,16612.0
Tamadoge,0.001951,2717920.0,50950.0,1393353219.0,verified,1417967396.0,2000000000.0,3901265.0,0.001941,0.002094,0.1957,0.001941,21968,18612.0
K9 Finance,1.698e-05,2315755.0,506096.0,136365133176.0,verified,999999999999.0,999999999999.0,16982019.0,1.68e-05,1.852e-05,0.0003543,1.68e-05,29665,4646.0
Hosky Token,1.017e-08,2320211.0,45402.0,227999999999931.0,verified,1000000000000000.0,1000000000000000.0,10176363.0,1.014e-08,1.028e-08,4.694e-07,7.848e-09,16755,7011.0
DinoLFG,0.006082,1903347.0,63864.0,312948493.0,verified,333333333.0,,2027327.0,0.005735,0.006825,1.3,0.002261,22680,5753.0
KittenWifHat,0.001936,1918233.0,245857.0,990656110.0,verified,998700662.0,,1933810.0,0.001904,0.002137,0.006482,0.001904,30629,12422.0
Sheboshis,86.94,1738848.0,91555.0,20000.0,verified,20000.0,20000.0,1738848.0,78.9,91.95,687.06,48.53,29559,1454.0
Soyjak,0.001897,1757297.0,726215.0,926557989.0,verified,979659596.0,980000000.0,1858654.0,0.001626,0.003784,0.006709,0.0006089,32350,155.0
Honk,0.001875,1724995.0,144669.0,919818677.0,verified,999985895.0,,1875338.0,0.00186,0.002131,0.04148,0.001233,29153,24163.0
Carlo,0.00183,1696508.0,114598.0,926931816.0,verified,1000000000.0,1000000000.0,1830241.0,0.001808,0.002708,0.02024,0.001459,31036,1291.0
Roost Coin,0.00183,1714824.0,107540.0,937143771.0,verified,1000000000.0,1000000000.0,1829841.0,0.001789,0.00214,0.07905,0.0005732,30407,7405.0
HAMI,0.001837,1652353.0,41018.0,899704984.0,verified,999704984.0,,1836008.0,0.001792,0.002302,0.009359,0.001047,30550,1346.0
HODL,2.175e-09,1577361.0,53745.0,725162255755946.0,verified,725162255755946.0,1000000000000000.0,2175183.0,2.168e-09,2.281e-09,2.7e-07,6.025e-10,9900,44473.0
MeowCat,0.01558,1557761.0,17214.0,100000000.0,verified,100000000.0,100000000.0,1557761.0,0.01537,0.01734,0.08675,0.0005792,31317,297.0
UTYABSWAP,0.001444,1443963.0,484780.0,1000000000.0,verified,1000000000.0,,1443963.0,0.001397,0.001726,0.2132,0.000453,31267,621.0
Meme Ai,0.002032,1479549.0,356711.0,728043731.0,verified,900000000.0,1000000000.0,2032226.0,0.002022,0.002146,0.03688,0.0006739,29026,18654.0
Gary Banking,0.0001357,1425290.0,542.0,10500000000.0,verified,50000000000.0,,6787096.0,0.0001357,0.0001401,0.0005876,0.000119,30303,227.0
BOZO,1.936e-08,1409985.0,592081.0,72824910656960.0,verified,93000000000000.0,,1800601.0,1.923e-08,2.102e-08,2.743e-07,1.382e-08,28991,7599.0
Minu,2.579e-07,1401356.0,663585.0,5432811053431.0,verified,5497812053431.0,100000000000000.0,25794303.0,2.398e-07,2.63e-07,1.514e-06,1.023e-08,29099,20847.0
Hawk Tuah,0.001487,1277109.0,1997574.0,858719638.0,verified,914310147.0,1000000000.0,1487224.0,0.001317,0.001949,0.03967,0.0004295,31923,3677.0
CatSolHat,0.02048,1355126.0,179576.0,66158964.0,verified,69949381.0,,1432764.0,0.01801,0.02172,0.09391,0.006378,31561,1549.0
Pepoclown,3.654e-09,1467884.0,80618.0,401667995306883.0,verified,420690000000000.0,420690000000000.0,1537399.0,2.972e-09,3.728e-09,1.558e-08,2.456e-09,31770,414.0
Caitlyn Jenner (ETH),0.001207,1163766.0,1114489.0,964572862.0,verified,1000000000.0,,1206509.0,0.001182,0.001495,0.007142,0.001159,31798,5546.0
Coinye West,0.001404,1124811.0,3699.0,801244726.0,verified,969100193.0,1000000000.0,1403830.0,0.001404,0.001508,0.04607,0.001299,30133,1317.0
Trog,2.605e-06,1095802.0,13219.0,420690000000.0,verified,420690000000.0,420690000000.0,1095802.0,2.6e-06,2.887e-06,0.0001175,2.6e-06,31569,2542.0
DeFrogs,107.22,1072182.0,373649.0,10000.0,verified,10000.0,10000.0,1072182.0,106.19,118.44,3987.97,106.19,29328,3346.0
BABYTRUMP,0.02993,1079861.0,25882.0,36080445.0,verified,47000000.0,47000000.0,1406676.0,0.02866,0.03471,0.3592,0.0004341,27955,22886.0
Sonic The Goat,1.216e-06,1077526.0,166.0,886102835021.0,verified,1000600100778.0,,1216758.0,1.199e-06,1.365e-06,4.523e-05,1.199e-06,30647,998.0
MintMe.com Coin,0.005701,1058053.0,308814.0,185590144.0,verified,535590146.0,564000000.0,3215375.0,0.005666,0.005768,0.1065,,3361,12278.0
Long,1.313e-06,1029092.0,6652.0,783713835230.0,verified,800000000000.0,1000000000000.0,1313097.0,1.305e-06,1.415e-06,3.659e-06,1.224e-06,30968,863.0
King Shiba,0.002845,995978.0,3084.0,350027372.0,verified,425084323.0,1000000000.0,2845430.0,7.128e-06,0.00299,0.1982,7.128e-06,12901,34763.0
Pussy Financial,6.025e-06,992644.0,479.0,164756994741.0,verified,218398529553.0,,1315828.0,6.025e-06,6.134e-06,0.0005635,,9639,8301.0
WOOF,5.492e-05,983315.0,5639.0,17902999424.0,verified,17902999424.0,,983315.0,5.388e-05,5.921e-05,0.005901,1.116e-05,12253,15904.0
DOGWIFHOOD,0.000995,993973.0,12320.0,998920173.0,verified,998920173.0,998920173.0,993973.0,0.0009669,0.00104,0.004275,0.0009478,30119,206.0
REKT,0.008806,978416.0,8314.0,111111111.0,verified,125000000.0,125000000.0,1100718.0,0.008775,0.009329,0.06639,0.007759,29675,740.0
Green Shiba Inu [New],2.712e-07,969008.0,1516.0,3572880055132.0,verified,5245959055815.0,10000000000000.0,2712120.0,2.615e-07,2.803e-07,4.609e-05,,10414,23722.0
DOGGY,0.0004229,951826.0,29856.0,2250595564.0,verified,2250595564.0,5000000000.0,2114608.0,0.0004216,0.0004379,0.0909,0.0002371,9693,87520.0
DOGEMOB,0.001917,957230.0,1391455.0,499450092.0,verified,1000000000.0,,1916567.0,0.001896,0.002157,0.01154,0.001551,30361,6401.0
Boss Token,1.997e-09,796351.0,725.0,398705146034609.0,verified,440380398200641.0,1000000000000000.0,1997343.0,1.741e-09,3.009e-09,4.795e-08,5.159e-10,12198,6954.0
SafeMoon Inu,9.19e-07,918966.0,0.0,1000000000000.0,verified,1000000000000.0,1000000000000.0,918966.0,9.19e-07,9.19e-07,0.0002603,,9958,29143.0
ELMOERC,0.003107,909931.0,1107.0,292860846.0,verified,309179956.0,,960635.0,0.002885,0.003317,0.03312,0.001586,24968,4533.0
Dingocoin,7.94e-06,867709.0,152835.0,109283608750.0,verified,109283608750.0,,867709.0,7.918e-06,7.973e-06,8.147e-05,3.672e-06,16185,4375.0
